Name,School,Casting Time,Comps,Cost,Save,Conc.,Source
Conjure Celestial,Conjuration,1 minute,"V, S",,,Yes,PHB 225
Create Magen,Transmutation,1 hour,"V, S, M",2000gp,,,IDRFM 318
Crown of Stars,Evocation,1 action,"V, S",,Attack roll,,XGE 152
Delayed Blast Fireball,Evocation,1 action,"V, S, M",,Dexterity,Yes,PHB 230
Divine Word,Evocation,1 bonus action,V,,Charisma,,PHB 234
Draconic Transformation,Transmutation,1 bonus action,"V, S, M",500gp,Dexterity,Yes,FTD 19
Dream of the Blue Veil,Conjuration,10 minutes,"V, S, M",,,,TCE 106
Etherealness,Transmutation,1 action,"V, S",,,,PHB 238
Finger of Death,Necromancy,1 action,"V, S",,Constitution,,PHB 241
Fire Storm,Evocation,1 action,"V, S",,Dexterity,,PHB 242
Forcecage,Evocation,1 action,"V, S, M",1500gp,Charisma,,PHB 243
Mirage Arcane,Illusion,10 minutes,"V, S",,,,PHB 260
Mordenkainen's Magnificent Mansion,Conjuration,1 minute,"V, S, M",15gp,,,PHB 261
Mordenkainen's Sword,Evocation,1 action,"V, S, M",250gp,Attack roll,Yes,PHB 262
Plane Shift,Conjuration,1 action,"V, S, M",250gp,"Attack roll, Charisma",,PHB 266
Power Word Pain,Enchantment,1 action,V,,Constitution,,XGE 163
Prismatic Spray,Evocation,1 action,"V, S",,Dexterity,,PHB 267
Project Image,Illusion,1 action,"V, S, M",5gp,,Yes,PHB 270
Regenerate,Transmutation,1 minute,"V, S, M",,,,PHB 271
Resurrection,Necromancy,1 hour,"V, S, M",1000gp,,,PHB 272
Reverse Gravity,Transmutation,1 action,"V, S, M",,Dexterity,Yes,PHB 272
Sequester,Transmutation,1 action,"V, S, M",5000gp,,,PHB 274
Simulacrum,Illusion,12 hours,"V, S, M",1500gp,,,PHB 276
Symbol,Abjuration,1 minute,"V, S, M",1000gp,,,PHB 280
Teleport,Conjuration,1 action,V,,,,PHB 281
Temple of the Gods,Conjuration,1 hour,"V, S, M",5gp,,,XGE 167
Tether Essence,Necromancy,1 action,"V, S, M",250gp,Constitution,Yes,EGW 189
Whirlwind,Evocation,1 action,"V, M",,"Dexterity, Strength",Yes,"XGE 171, EEPC 24"
