Name,School,Casting Time,Comps,Cost,Save,Ritual,Conc.,Source
Animate Objects,Transmutation,1 action,"V, S",,,,Yes,PHB 213
Antilife Shell,Abjuration,1 action,"V, S",,,,Yes,PHB 213
Awaken,Transmutation,8 hours,"V, S, M",1000gp,,,,PHB 216
Banishing Smite,Abjuration,1 bonus action,V,,Attack roll,,Yes,PHB 216
Bigby's Hand,Evocation,1 action,"V, S, M",,"Attack roll, Strength",,Yes,PHB 218
Circle of Power,Abjuration,1 action,V,,,,Yes,PHB 221
Cloudkill,Conjuration,1 action,"V, S",,Constitution,,Yes,PHB 222
Commune,Divination,1 minute,"V, S, M",,,Yes,,PHB 223
Commune With Nature,Divination,1 minute,"V, S",,,Yes,,PHB 224
Cone of Cold,Evocation,1 action,"V, S, M",,Constitution,,,PHB 224
Conjure Elemental,Conjuration,1 minute,"V, S, M",,,,Yes,PHB 225
Conjure Volley,Conjuration,1 action,"V, S, M",,,,,PHB 226
Contact Other Plane,Divination,1 minute,V,,Intelligence,Yes,,PHB 226
Contagion,Necromancy,1 action,"V, S",,"Attack roll, Constitution",,,PHB 227
Control Winds,Transmutation,1 action,"V, S",,Strength,,Yes,"XGE 152, EEPC 16"
Creation,Illusion,1 minute,"V, S, M",,,,,PHB 229
Danse Macabre,Necromancy,1 action,"V, S",,,,Yes,XGE 153
Dawn,Evocation,1 action,"V, S, M",100gp,Constitution,,Yes,XGE 153
Destructive Wave,Evocation,1 action,V,,Constitution,,,PHB 231
Dispel Evil and Good,Abjuration,1 action,"V, S, M",,,,Yes,PHB 233
Dominate Person,Enchantment,1 action,"V, S",,Wisdom,,Yes,PHB 235
Dream,Illusion,1 minute,"V, S, M",,Wisdom,,,PHB 236
Enervation,Necromancy,1 action,"V, S",,Dexterity,,Yes,XGE 155
Far Step,Conjuration,1 bonus action,V,,,,Yes,XGE 155
Flame Strike,Evocation,1 action,"V, S, M",,Dexterity,,,PHB 242
Geas,Enchantment,1 minute,V,,Wisdom,,,PHB 244
Greater Restoration,Abjuration,1 action,"V, S, M",100gp,,,,PHB 246
Hallow,Evocation,24 hours,"V, S, M",1000gp,Charisma,,,PHB 249
Hold Monster,Enchantment,1 action,"V, S, M",,Wisdom,,Yes,PHB 251
Holy Weapon,Evocation,1 bonus action,"V, S",,"Attack roll, Constitution",,Yes,XGE 157
Immolation,Evocation,1 action,V,,Dexterity,,Yes,"XGE 158, EEPC 19"
Infernal Calling,Conjuration,1 minute,"V, S, M",999gp,,,Yes,XGE 158
Insect Plague,Conjuration,1 action,"V, S, M",,Constitution,,Yes,PHB 254
Legend Lore,Divination,10 minutes,"V, S, M",450gp,,,,PHB 254
Maelstrom,Evocation,1 action,"V, S, M",,Strength,,Yes,"XGE 160, EEPC 20"
Mass Cure Wounds,Evocation,1 action,"V, S",,,,,PHB 258
Mislead,Illusion,1 action,S,,,,Yes,PHB 260
Modify Memory,Enchantment,1 action,"V, S",,Wisdom,,Yes,PHB 261
Negative Energy Flood,Necromancy,1 action,"V, M",,Constitution,,,XGE 163
Passwall,Transmutation,1 action,"V, S, M",,,,,PHB 264
Planar Binding,Abjuration,1 hour,"V, S, M",1000gp,Charisma,,,PHB 265
Raise Dead,Necromancy,1 hour,"V, S, M",500gp,,,,PHB 270
Rary's Telepathic Bond,Divination,1 action,"V, S, M",,,Yes,,PHB 270
Reincarnate,Transmutation,1 hour,"V, S, M",1000gp,,,,PHB 271
Scrying,Divination,10 minutes,"V, S, M",1000gp,Wisdom,,Yes,PHB 273
Seeming,Illusion,1 action,"V, S",,Charisma,,,PHB 274
Skill Empowerment,Transmutation,1 action,"V, S",,,,Yes,XGE 165
Steel Wind Strike,Conjuration,1 action,"S, M",,Attack roll,,,XGE 166
Summon Celestial,Conjuration,1 action,"V, S, M",500gp,,,Yes,TCE 110
Summon Draconic Spirit,Conjuration,1 action,"V, S, M",500gp,,,Yes,FTD 21
Swift Quiver,Transmutation,1 bonus action,"V, S, M",,,,Yes,PHB 279
Synaptic Static,Enchantment,1 action,"V, S",,Intelligence,,,XGE 167
Telekinesis,Transmutation,1 action,"V, S",,Strength,,Yes,PHB 280
Teleportation Circle,Conjuration,1 minute,"V, M",50gp,,,,PHB 282
Temporal Shunt,Transmutation,1 reaction,"V, S",,Wisdom,,,EGW 189
Transmute Rock,Transmutation,1 action,"V, S, M",,"Strength, Dexterity",,,"XGE 169, EEPC 22"
Tree Stride,Conjuration,1 action,"V, S",,,,Yes,PHB 283
Wall of Force,Evocation,1 action,"V, S, M",,,,Yes,PHB 285
Wall of Light,Evocation,1 action,"V, S, M",,"Attack roll, Constitution",,Yes,XGE 170
Wall of Stone,Evocation,1 action,"V, S, M",,Dexterity,,Yes,PHB 287
Wrath of Nature,Evocation,1 action,"V, S",,"Attack roll, Strength, Dexterity",,Yes,XGE 171
