Name,School,Casting Time,Comps,Cost,Save,Ritual,Conc.,Source
Arcane Gate,Conjuration,1 action,"V, S",,,,Yes,PHB 214
Blade Barrier,Evocation,1 action,"V, S",,Dexterity,,Yes,PHB 218
Bones of the Earth,Transmutation,1 action,"V, S",,,,,"XGE 150, EEPC 15"
Chain Lightning,Evocation,1 action,"V, S, M",,Dexterity,,,PHB 221
Circle of Death,Necromancy,1 action,"V, S, M",500gp,Constitution,,,PHB 221
Conjure Fey,Conjuration,1 minute,"V, S",,,,Yes,PHB 226
Contingency,Evocation,10 minutes,"V, S, M",1500gp,,,,PHB 227
Create Homunculus,Transmutation,1 hour,"V, S, M",1000gp,,,,XGE 152
Create Undead,Necromancy,1 minute,"V, S, M",150gp,,,,PHB 229
Disintegrate,Transmutation,1 action,"V, S, M",,Dexterity,,,PHB 233
Drawmij's Instant Summons,Conjuration,1 minute,"V, S, M",1000gp,,Yes,,PHB 235
Druid Grove,Abjuration,10 minutes,"V, S, M",,,,,XGE 154
Eyebite,Necromancy,1 action,"V, S",,Wisdom,,Yes,PHB 238
Find the Path,Divination,1 minute,"V, S, M",100gp,,,Yes,PHB 240
Fizban's Platinum Shield,Abjuration,1 bonus action,"V, S, M",500gp,,,Yes,FTD 20
Flesh to Stone,Transmutation,1 action,"V, S, M",,Constitution,,Yes,PHB 243
Forbiddance,Abjuration,10 minutes,"V, S, M",1000gp,,Yes,,PHB 243
Gravity Fissure,Evocation,1 action,"V, S, M",,Constitution,,,EGW 187
Globe of Invulnerability,Abjuration,1 action,"V, S, M",,,,Yes,PHB 245
Guards and Wards,Abjuration,10 minutes,"V, S, M",10gp,,,,PHB 248
Harm,Necromancy,1 action,"V, S",,Constitution,,,PHB 249
Heal,Evocation,1 action,"V, S",,,,,PHB 250
Heroes' Feast,Conjuration,10 minutes,"V, S, M",1000gp,,,,PHB 250
Investiture of Flame,Transmutation,1 action,"V, S",,Dexterity,,Yes,"XGE 159, EEPC 19"
Investiture of Ice,Transmutation,1 action,"V, S",,Constitution,,Yes,"XGE 159, EEPC 19"
Investiture of Stone,Transmutation,1 action,"V, S",,Dexterity,,Yes,"XGE 159, EEPC 19"
Investiture of Wind,Transmutation,1 action,"V, S",,Constitution,,Yes,"XGE 161, EEPC 20"
Magic Jar,Necromancy,1 minute,"V, S, M",500gp,Charisma,,,PHB 257
Mass Suggestion,Enchantment,1 action,"V, M",,Wisdom,,,PHB 258
Mental Prison,Illusion,1 action,S,,Intelligence,,Yes,XGE 161
Move Earth,Transmutation,1 action,"V, S, M",,,,Yes,PHB 263
Otiluke's Freezing Sphere,Evocation,1 action,"V, S, M",,Constitution,,,PHB 263
Otto's Irresistible Dance,Enchantment,1 action,V,,Wisdom,,Yes,PHB 264
Planar Ally,Conjuration,10 minutes,"V, S",,,,,PHB 265
Primordial Ward,Abjuration,1 action,"V, S",,,,Yes,"XGE 163, EEPC 21"
Programmed Illusion,Illusion,1 action,"V, S, M",25gp,,,,PHB 269
Scatter,Conjuration,1 action,V,,Wisdom,,,XGE 164
Soul Cage,Necromancy,1 reaction,"V, S, M",100gp,,,,XGE 165
Summon Fiend,Conjuration,1 action,"V, S, M",600gp,,,Yes,TCE 112
Sunbeam,Evocation,1 action,"V, S, M",,Constitution,,Yes,PHB 279
Tasha's Otherworldly Guise,Transmutation,1 bonus action,"V, S, M",500 gp,,,Yes,TCE 116
Tenser's Transformation,Transmutation,1 action,"V, S, M",,,,Yes,XGE 168
Transport via Plants,Conjuration,1 action,"V, S",,,,,PHB 283
True Seeing,Divination,1 action,"V, S, M",25gp,,,,PHB 284
Wall of Ice,Evocation,1 action,"V, S, M",,"Dexterity, Constitution",,Yes,PHB 285
Wall of Thorns,Conjuration,1 action,"V, S, M",,Dexterity,,Yes,PHB 287
Wind Walk,Transmutation,1 minute,"V, S, M",,,,,PHB 288
Word of Recall,Conjuration,1 action,V,,,,,PHB 289
